iter	Passed	Remaining
400	20985	73215
401	21042	73177
402	21101	73147
403	21152	73091
404	21196	73010
405	21252	72970
406	21305	72921
407	21365	72894
408	21425	72866
409	21479	72821
410	21538	72791
411	21594	72750
412	21643	72686
413	21701	72652
414	21758	72614
415	21817	72586
416	21878	72561
417	21936	72525
418	21992	72486
419	22048	72445
420	22103	72401
421	22161	72365
422	22217	72324
423	22272	72282
424	22307	72172
425	22361	72124
426	22419	72087
427	22476	72050
428	22533	72013
429	22592	71982
430	22650	71946
431	22706	71903
432	22764	71869
433	22825	71842
434	22884	71809
435	22939	71765
436	22999	71735
437	23057	71697
438	23113	71657
439	23169	71614
440	23227	71577
441	23285	71540
442	23342	71503
443	23401	71469
444	23460	71434
445	23518	71399
446	23578	71367
447	23636	71332
448	23695	71298
449	23752	71258
450	23810	71220
451	23870	71190
452	23927	71147
453	23986	71113
454	24044	71075
455	24100	71031
456	24159	70999
457	24217	70959
458	24274	70918
459	24332	70880
460	24386	70832
461	24441	70785
462	24497	70741
463	24557	70707
464	24610	70656
465	24668	70616
466	24725	70575
467	24780	70529
468	24839	70493
469	24898	70458
470	24954	70411
471	25015	70382
472	25075	70348
473	25129	70299
474	25178	70233
475	25231	70181
476	25285	70131
477	25338	70077
478	25395	70035
479	25450	69989
480	25508	69949
481	25568	69915
482	25625	69874
483	25682	69831
484	25739	69788
485	25798	69750
486	25857	69714
487	25914	69671
488	25970	69625
489	26029	69590
490	26087	69548
491	26145	69509
492	26199	69456
493	26255	69411
494	26313	69371
495	26366	69318
496	26425	69281
497	26484	69242
498	26544	69207
499	26602	69166
500	26661	69129
501	26719	69086
502	26775	69042
503	26835	69004
504	26892	68961
505	26951	68922
506	27007	68878
507	27066	68837
508	27123	68793
509	27180	68750
510	27236	68704
511	27293	68659
512	27352	68620
513	27410	68580
514	27467	68534
515	27527	68499
516	27588	68463
517	27644	68418
518	27703	68377
519	27760	68334
520	27818	68291
521	27879	68255
522	27935	68209
523	27993	68167
524	28050	68123
525	28108	68081
526	28164	68032
527	28220	67985
528	28278	67942
529	28335	67897
530	28394	67858
531	28453	67818
532	28511	67775
533	28569	67733
534	28628	67690
535	28685	67646
536	28741	67599
537	28801	67561
538	28864	67528
539	28921	67483
540	28979	67439
541	29035	67393
542	29093	67348
543	29150	67304
544	29207	67257
545	29277	67242
546	29336	67200
547	29393	67153
548	29451	67111
549	29510	67068
550	29568	67026
551	29628	66985
552	29684	66938
553	29740	66890
554	29798	66844
555	29859	66807
556	29916	66761
557	29974	66718
558	30031	66671
559	30088	66624
560	30146	66581
561	30204	66535
562	30261	66490
563	30321	66449
564	30379	66405
565	30437	66360
566	30495	66316
567	30555	66274
568	30613	66230
569	30668	66178
570	30725	66131
571	30781	66084
572	30838	66037
573	30893	65984
574	30939	65915
575	30995	65864
576	31051	65815
577	31109	65771
578	31165	65722
579	31224	65679
580	31283	65636
581	31339	65587
582	31394	65535
583	31451	65488
584	31511	65447
585	31569	65402
586	31628	65359
587	31686	65312
588	31744	65268
589	31801	65219
590	31861	65178
591	31918	65130
592	31975	65084
593	32032	65035
594	32090	64990
595	32151	64949
596	32199	64884
597	32255	64835
598	32315	64793
599	32372	64745
600	32428	64695
601	32487	64650
602	32547	64608
603	32607	64566
604	32666	64523
605	32725	64478
606	32784	64435
607	32846	64395
608	32905	64352
609	32962	64304
610	33021	64258
611	33077	64209
612	33127	64147
613	33190	64110
614	33250	64067
615	33305	64016
616	33364	63971
617	33421	63922
618	33478	63874
619	33545	63843
620	33592	63776
621	33649	63728
622	33708	63682
623	33767	63638
624	33825	63592
625	33883	63545
626	33938	63493
627	33995	63443
628	34054	63398
629	34108	63345
630	34164	63294
631	34221	63244
632	34277	63194
633	34336	63149
634	34395	63103
635	34453	63055
636	34515	63016
637	34573	62968
638	34634	62926
639	34694	62884
640	34752	62835
641	34811	62791
642	34869	62743
643	34927	62696
644	34984	62646
645	35043	62601
646	35090	62533
647	35145	62481
648	35205	62436
649	35261	62385
650	35311	62323
651	35369	62275
652	35428	62229
653	35489	62188
654	35543	62133
655	35594	62072
656	35651	62024
657	35707	61972
658	35763	61921
659	35822	61874
660	35867	61805
661	35925	61757
662	35985	61712
663	36041	61661
664	36100	61615
665	36155	61562
666	36208	61505
667	36265	61456
668	36325	61411
669	36381	61360
670	36439	61312
671	36501	61270
672	36546	61200
673	36604	61153
674	36660	61101
675	36719	61054
676	36777	61006
677	36836	60958
678	36894	60911
679	36949	60857
680	37006	60807
681	37060	60753
682	37116	60701
683	37175	60655
684	37232	60604
685	37290	60556
686	37347	60506
687	37403	60455
688	37462	60408
689	37523	60364
690	37583	60317
691	37641	60269
692	37699	60221
693	37755	60169
694	37813	60120
695	37869	60068
696	37926	60018
697	37985	59970
698	38042	59920
699	38100	59871
700	38156	59820
701	38206	59759
702	38262	59707
703	38322	59661
704	38381	59614
705	38431	59551
706	38486	59498
707	38543	59448
708	38592	59386
709	38650	59337
710	38708	59288
711	38769	59243
712	38830	59199
713	38885	59144
714	38942	59094
715	38999	59043
716	39055	58991
717	39115	58946
718	39172	58894
719	39231	58847
720	39289	58797
721	39348	58750
722	39399	58690
723	39450	58630
724	39510	58584
725	39564	58528
726	39624	58483
727	39682	58433
728	39739	58382
729	39797	58332
730	39853	58281
731	39888	58197
732	39943	58144
733	39999	58092
734	40056	58041
735	40116	57994
736	40168	57936
737	40225	57885
738	40282	57834
739	40338	57782
740	40394	57729
741	40453	57681
742	40513	57634
743	40570	57584
744	40628	57533
745	40687	57486
746	40746	57438
747	40807	57392
748	40863	57340
749	40920	57288
750	40975	57234
751	41033	57184
752	41091	57135
753	41150	57087
754	41205	57033
755	41262	56982
756	41322	56933
757	41378	56881
758	41435	56830
759	41496	56784
760	41553	56733
761	41610	56681
762	41668	56631
763	41725	56580
764	41784	56532
765	41842	56481
766	41900	56431
767	41955	56377
768	42009	56321
769	42068	56273
770	42124	56220
771	42171	56155
772	42228	56104
773	42287	56055
774	42344	56003
775	42399	55950
776	42459	55901
777	42513	55846
778	42569	55793
779	42627	55743
780	42683	55691
781	42744	55644
782	42802	55594
783	42860	55544
784	42917	55491
785	42976	55443
786	43033	55390
787	43088	55337
788	43146	55286
789	43205	55237
790	43264	55187
791	43321	55135
792	43377	55083
793	43431	55027
794	43490	54978
795	43544	54923
796	43602	54872
797	43659	54820
798	43718	54770
799	43776	54720
800	43830	54664
801	43888	54614
802	43945	54561
803	44001	54508
804	44060	54460
805	44117	54408
806	44173	54354
807	44232	54305
808	44291	54255
809	44346	54200
810	44403	54148
811	44459	54095
812	44512	54039
813	44569	53987
814	44627	53936
815	44665	53861
816	44722	53809
817	44785	53764
818	44842	53711
819	44902	53664
820	44957	53609
821	45013	53556
822	45071	53505
823	45129	53453
824	45190	53407
825	45244	53351
826	45303	53301
827	45360	53249
828	45421	53201
829	45482	53154
830	45539	53101
831	45596	53049
832	45654	52998
833	45714	52949
834	45773	52899
835	45828	52845
836	45885	52793
837	45941	52740
838	45998	52686
839	46052	52630
840	46107	52576
841	46163	52523
842	46224	52475
843	46284	52426
844	46342	52375
845	46400	52323
846	46458	52272
847	46513	52217
848	46572	52167
849	46630	52116
850	46691	52067
851	46751	52018
852	46808	51967
853	46867	51916
854	46925	51865
855	46982	51812
856	47041	51761
857	47093	51704
858	47150	51651
859	47208	51599
860	47266	51548
861	47324	51496
862	47384	51447
863	47439	51393
864	47498	51342
865	47558	51292
866	47614	51239
867	47669	51184
868	47726	51131
869	47785	51081
870	47844	51030
871	47901	50977
872	47958	50925
873	48011	50867
874	48064	50811
875	48122	50759
876	48180	50707
877	48238	50656
878	48296	50604
879	48352	50549
880	48406	50494
881	48469	50448
882	48525	50394
883	48580	50339
884	48637	50286
