iter	MSLE	RMSE
0	1.025407183	34.44400042
1	0.9613124216	33.33608532
2	0.9033438865	32.307016
3	0.8547960918	31.36103245
4	0.8083175478	30.48084683
5	0.7635899078	29.54459822
6	0.7237997242	28.74915525
7	0.6881299205	27.9775663
8	0.6561410639	27.28641979
9	0.6243164812	26.64577989
10	0.5982913389	26.05188944
11	0.5700038691	25.40366498
12	0.5426523165	24.83489678
13	0.5169690853	24.24840479
14	0.4982918775	23.7737191
15	0.4774912709	23.31305452
16	0.4622087936	22.90932889
17	0.4505754216	22.53132919
18	0.4343233648	22.10531345
19	0.4215575832	21.75567127
20	0.406122607	21.43614421
21	0.3929686301	21.12704779
22	0.386675017	20.82214185
23	0.3742000292	20.54001727
24	0.3648354385	20.26612138
25	0.3561248489	20.03140026
26	0.3462812864	19.75062182
27	0.3370235196	19.49517932
28	0.3289642369	19.28383851
29	0.3248714425	19.11559727
30	0.3217294623	18.94394367
31	0.3173916286	18.76025733
32	0.3139217126	18.60173043
33	0.305622161	18.39224574
34	0.2991969162	18.22555957
35	0.2977188929	18.08438122
36	0.2945477707	17.96253948
37	0.293287858	17.83159237
38	0.2914934767	17.71327882
39	0.2887769504	17.61578076
40	0.2848450488	17.46669339
41	0.2826099125	17.35145461
42	0.2814796488	17.24745021
43	0.2789665559	17.16527601
44	0.2774535569	17.10559598
45	0.2762900975	17.03363353
46	0.2746277889	16.93900601
47	0.2709746849	16.84219681
48	0.2685432308	16.71585703
49	0.2673222534	16.6538576
50	0.265830156	16.59135195
51	0.2600358059	16.44559298
52	0.2560671297	16.33896707
53	0.254720708	16.27653501
54	0.2495504188	16.13793447
55	0.2493415682	16.0733687
56	0.2452642636	15.94881147
57	0.2437134508	15.8710486
58	0.2409465881	15.78780246
59	0.2389866504	15.71181822
60	0.2382996415	15.66109392
61	0.2373345068	15.59450905
62	0.236207109	15.52825077
63	0.2322593825	15.43552429
64	0.2317386322	15.38726171
65	0.2321751113	15.35650462
66	0.2322042713	15.30394679
67	0.2318584619	15.27096071
68	0.2300910298	15.20449977
69	0.230527656	15.17729879
70	0.2309166661	15.1526124
71	0.2276910555	15.06637761
72	0.2279100642	15.04119424
73	0.2270598557	14.97880125
74	0.2269748116	14.95145366
75	0.2257483237	14.88744962
76	0.2245533487	14.83427198
77	0.2240113614	14.7982757
78	0.2206928655	14.72810603
